Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S171836610,Graylag Goose,Anser anser,264,7,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-05-04,09:53:00,eBird - Traveling Count,63,1,0.34,NA,1,NA,"Unexpected patch tick. 7 birds in a roosting flock on the west bank of Balgove Bay, right at the edge of the scope's range in the haar.",NA,NA
S188933203,Graylag Goose,Anser anser,264,1,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-07-26,16:23:00,eBird - Stationary Count,71,1,NA,NA,1,NA,Presumably the same bird that flew north over the golf course before I arrived at the estuary.,NA,NA
S191745262,Graylag Goose,Anser anser,264,2,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-08-17,10:31:00,eBird - Traveling Count,106,1,0.39,NA,1,NA,NA,NA,NA
S172094983,Graylag Goose,Anser anser,264,1,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-05-05,10:08:00,eBird - Traveling Count,54,1,1.16,NA,1,NA,Flying south over the Madras field - presumably one of the birds from the Balgove Bay flock yesterday.,NA,NA
S200320590,Graylag Goose,Anser anser,264,1,GB-SCT,Fife,L8016493,Out Head,56.366517,-2.8198006,2024-10-26,14:35:00,eBird - Traveling Count,81,1,1.31,NA,1,NA,Flying west down the north bank of the estuary. Several months since my last bird on the patch.,NA,NA
S188923230,Graylag Goose,Anser anser,264,1,GB-SCT,Fife,L4828301,St Andrews Links,56.3495844,-2.8087478,2024-07-26,16:05:00,eBird - Traveling Count,16,1,0.87,NA,1,NA,Flying north over the golf course towards Balgove Bay.,NA,NA
S157830542,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-01-02,11:49:00,eBird - Traveling Count,46,1,0.61,NA,1,NA,One heard flying overhead but not seen in all the fog,Thick fog on the sea and no scope with me prevented any proper seawatching,NA
S160595352,Pink-footed Goose,Anser brachyrhynchus,299,35,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-02-04,12:23:00,eBird - Stationary Count,25,1,NA,NA,1,NA,NA,Massive drop in numbers of birds on the sea.,NA
S196555447,Pink-footed Goose,Anser brachyrhynchus,299,45,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-09-26,16:48:00,eBird - Stationary Count,50,1,NA,NA,2,NA,Two smallish flocks distantly over the Dundee/Angus coastline.,NA,NA
S197977191,Pink-footed Goose,Anser brachyrhynchus,299,176,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-10-08,09:01:00,eBird - Stationary Count,60,1,NA,NA,1,NA,"One distant flock of about 26, then a large flock overhead about 150.",NA,NA
